node_id,proto_mean,seq_mean,stddev_mean,N_IN_Conn_P_SrcIP_mean,min_mean,state_number_mean,mean_mean,N_IN_Conn_P_DstIP_mean,drate_mean,srate_mean,max_mean,attack
192.168.100.149->192.168.100.7,2.99023090586146,16027.2504440497,0.0139540648312611,91.1634103019538,0.00336492362344582,1.2158081705151,0.016839986678508,99.7051509769094,34.4648818623446,122.421247402309,0.0332078730017762,1
192.168.100.149->192.168.217.2,4,16536.7142857143,0,12.4285714285714,0,,0,14.8571428571429,0,0.371312571428571,0,0
192.168.100.149->224.0.0.251,4,9395.2,0,11.5,0,4,0,22.5,0,0,0,0
192.168.100.149->27.124.125.250,4,3799,0,14.75,0.04862225,2,0.04862225,3,0,0,0.04862225,0
192.168.100.149->52.11.124.117,3,5423,0,12,0.82394,6,0.82394,4,16.991529,16.991529,0.82394,0
192.168.100.149->52.201.147.106,3,5432,0,12,1.499182,6,1.499182,3,6.670304,8.004365,1.499182,0
192.168.100.149->8.8.8.8,4,14685.7142857143,0.00434435714285714,12.5,0.0279092142857142,2,0.0322539285714285,14.2142857142857,156.194081071429,71454.498315,0.0365986428571428,0
192.168.100.150->192.168.100.1,0,3511,0.00001975,10.5,0.0000825,2,0.0001105,9.5,0.0022345,0.0022345,0.00013675,0
192.168.100.150->192.168.100.255,4,8673,0,16,0.010073,4,0.010073,3.5,0,99.2759305,0.010073,0
192.168.100.150->192.168.100.3,3.56291625723332,136658.37736789,0.90137095973678,82.6811082905703,1.00641890728723,3.01897268624668,2.42071771843496,92.5668388561342,0.317650820647724,2.30939146809832,3.12144422005905,1
192.168.100.150->192.168.100.5,3.25744975744976,14752.1118041118,9.98169323169323E-05,74.4904134904135,0.0220918648648649,1.81774081774082,0.0222215464310464,90.4964194964195,0.000310090436590437,0.00615300623700624,0.0223206726726727,1
192.168.100.150->192.168.100.6,2.98886032562125,10414.0831191088,0.00623227163667524,40.9965724078835,0.000146143958868894,1.50042844901457,0.00657335047129391,99.1859468723222,51.8999834712939,161.957758373608,0.0138508131962296,1
192.168.100.150->192.168.100.7,2.98831985624438,14106.376460018,0.0150553180592992,90.6585804132974,0.00301638454627133,1.27762803234501,0.0175704465408805,98.9649595687331,43.5307774043127,148.873889590297,0.0344169505840072,1
192.168.100.150->192.168.217.2,4,15074.625,0,13.375,0,4,0,14.25,0,0.39989825,0,0
192.168.100.150->224.0.0.251,4,9398.1,0,16,0,4,0,22.5,0,0,0,0
192.168.100.150->255.255.255.255,4,9186.5,0,16,0,4,#,2,0,0,0,0
192.168.100.150->27.124.125.250,4,15478.5,0,14.25,0.048568,2,0.048568,2.75,0,0,0.048568,0
192.168.100.150->52.11.124.117,3,5429,0,14,0.873009,6,#,4,16.036489,17.181953,0.873009,0
192.168.100.150->52.201.147.106,3,5438,0,14,1.44505,6,1.44505,3,7.612193,8.304211,1.44505,0
192.168.100.150->8.8.8.8,4,14552.5,0.0036519375,13.5625,0.031382125,2,0.035034125,14.25,96.3966814375,46875,0.0386860625,0
192.168.100.27->192.168.100.1,2.33333333333333,6671.66666666667,0.13992625,3.33333333333333,0.0450969166666667,2,0.185024083333333,8.91666666666667,0.00177416666666667,0.00177608333333333,0.324950916666667,0
192.168.100.27->224.0.0.251,4,28341.5,0,2,0,4,0,22.5,0,0,0,0
192.168.100.3->128.63.2.53,4,3412.5,0,6,0.231372,2,0.231372,2,0,0,0.231372,0
192.168.100.3->13.55.154.73,3,19.4,1.2634928,19.6,0.4350836,2,4.0018532,1.4,0.8570316,0.8573026,4.999988,0
192.168.100.3->156.154.100.3,4,3707,0,74,0.012331,2,0.012331,2,0,0,0.012331,0
192.168.100.3->156.154.101.3,4,3770.5,0,74,0.0115095,2,0.0115095,2,0,0,0.0115095,0
192.168.100.3->172.217.25.170,3,4972.25,0.15838275,18,0.00594375,6,0.115708,1.5,0.100883,0.12136225,0.3885115,0
192.168.100.3->184.85.248.65,4,6740,0,20,0.215891,2,0.215891,1,0,0,0.215891,0
192.168.100.3->192.112.36.4,4,5440.5,0,23,0.1407035,2,0.1407035,2,0,0,0.1407035,0
192.168.100.3->192.12.94.30,4,4175.5,0,53.6666666666667,0.165501666666667,2,0.165501666666667,3,0,0,0.165501666666667,0
192.168.100.3->192.168.100.147,2.14987405541562,4957.36439966415,0.536114593198992,69.3303946263644,0.597147895465995,2.69815281276238,1.54109517464316,53.3690176322418,11.7132852350966,1.42315474391268,1.89132586230059,1
192.168.100.3->192.168.100.148,1.56178977272727,8153.38423295455,0.0117131384943182,49.6974431818182,*,*,0.604526563920455,21.7677556818182,41.785735665483,0.0457595561079545,0.616487090198864,1
192.168.100.3->192.168.100.149,1.84457142857143,9494.44171428572,0.0346885131428571,46.948,0.317828987428571,3.31085714285714,0.347952380571429,23.684,41.1195123742857,0.0499205742857143,0.398894686285714,1
192.168.100.3->192.168.100.150,2.21291314373559,7340.82513451191,0.25177178055342,56.4546502690238,0.474236193312836,2.56264411990776,0.757854369331284,41.0799385088394,30.1115386471945,0.19428421944658,1.04410039239047,1
192.168.100.3->192.168.100.55,3,3,0.1175465,20,2.8578915,2,4.954989,2,17.7880845,17.788381,4.9979115,0
192.168.100.3->192.203.230.10,4,3653.5,0,29,0.0155685,2,0.0155685,2,0,0,0.0155685,0
192.168.100.3->192.26.92.30,4,3802,0,74,0.284022,2,0.284022,2,0,0,0.284022,0
192.168.100.3->192.31.80.30,4,4358.33333333333,0,57,0.279934,2,0.279934,1.66666666666667,0,0,0.279934,0
192.168.100.3->192.33.14.30,4,3665.5,0,29,0.011022,2,0.011022,2,0,0,0.011022,0
192.168.100.3->192.33.4.12,4,3909.33333333333,0,25,0.173380666666667,2,0.173380666666667,1.66666666666667,0,0,0.173380666666667,0
192.168.100.3->192.35.51.30,4,4825.66666666667,0,24,0.164734666666667,2,0.164734666666667,1,0,0,0.164734666666667,0
192.168.100.3->192.36.148.17,4,3916.33333333333,0,25,0.057592,2,0.057592,1.66666666666667,0,0,0.057592,0
192.168.100.3->192.41.162.30,4,3796.5,0,58,0.168326333333333,2,0.168326333333333,3,0,0,0.168326333333333,0
192.168.100.3->192.42.93.30,4,5361.66666666667,0,26,0.165413666666667,2,0.165413666666667,1.66666666666667,0,0,0.165413666666667,0
192.168.100.3->192.48.79.30,4,3744,0,74,0.193782,2,0.193782,1,0,0,0.193782,0
192.168.100.3->192.5.5.241,4,4571,0,45.7142857142857,0.0295815714285714,2,0.0295815714285714,2.42857142857143,0,0,0.0295815714285714,0
192.168.100.3->192.52.178.30,4,3261,0,42,0.167439666666667,,0.167439666666667,1,0,0,0.167439666666667,0
192.168.100.3->192.54.112.30,4,3696.5,0,29,0.1968055,2,0.1968055,2,0,0,0.1968055,0
192.168.100.3->192.55.83.30,4,3701.5,0,51.5,0.1682605,2,0.1682605,1,0,0,0.1682605,0
192.168.100.3->192.58.128.30,4,3672,0,29,0.015431,2,0.015431,3,0,0,0.015431,0
192.168.100.3->198.41.0.4,4,3737,0,74,0.173872,2,0.173872,1,0,0,0.173872,0
192.168.100.3->199.19.56.1,4,3766.5,0,74,0.2580045,2,0.2580045,2,0,0,0.2580045,0
192.168.100.3->199.19.57.1,4,3716,0,74,0.21510025,,0.21510025,4,0,0,0.21510025,0
192.168.100.3->199.7.83.42,4,6231.5,0,47,0.01333375,2,0.01333375,2,0,0,0.01333375,0
192.168.100.3->199.7.91.13,4,3780,0,22,0.0157976666666667,2,0.0157976666666667,a,0,0,0.0157976666666667,0
192.168.100.3->202.12.27.33,4,26868.5,0,29,0.159292,2,0.159292,2,0,0,0.159292,0
192.168.100.3->205.251.192.170,4,3779.5,0,74,0.309303,,0.309303,2,0,0,0.309303,0
192.168.100.3->205.251.193.2,4,3846.66666666667,0,57,0.302794333333333,2,0.302794333333333,1.66666666666667,0,0,0.302794333333333,0
192.168.100.3->205.251.193.205,4,3731.5,0,74,0.323217,2,0.323217,2,0,0,0.323217,0
192.168.100.3->205.251.194.102,4,3808.5,0,74,0.2927395,2,0.2927395,2,0,0,0.2927395,0
192.168.100.3->205.251.194.154,4,3815,0,74,0.277896,2,0.277896,1,0,0,0.277896,0
192.168.100.3->205.251.194.167,4,6741,0,20,0.27849,2,0.27849,1,0,0,0.27849,0
192.168.100.3->205.251.194.201,4,3727.5,0,74,0.287192,2,0.287192,2,0,0,0.287192,0
192.168.100.3->205.251.194.84,4,3789.5,0,74,0.2841855,2,0.2841855,2,0,0,0.2841855,0
192.168.100.3->205.251.194.86,4,3714,0,74,0.2912285,2,0.2912285,2,0,0,0.2912285,0
192.168.100.3->205.251.195.185,4,3726,0,74,0.280261,2,0.280261,1,0,0,0.280261,0
192.168.100.3->205.251.195.59,4,3783.5,0,74,0.2888015,2,0.2888015,2,0,0,0.2888015,0
192.168.100.3->205.251.195.97,4,4825.33333333333,0,24,0.284674,2,0.284674,1,0,0,0.284674,0
192.168.100.3->205.251.196.160,4,3676,0,29,0.0097505,2,0.0097505,2,0,0,0.0097505,0
192.168.100.3->205.251.196.236,4,5393,0,21.5,0.0092795,2,0.0092795,1,0,0,0.0092795,0
192.168.100.3->205.251.196.32,4,3735.5,0,74,0.0094765,2,0.0094765,2,0,0,0.0094765,0
192.168.100.3->205.251.197.206,4,3777,0,74,0.0101855,2,0.0101855,2,0,0,0.0101855,0
192.168.100.3->205.251.198.119,4,3664,0,29,0.342369,2,0.342369,1,0,0,0.342369,0
192.168.100.3->205.251.198.239,4,3729.5,0,74,0.3487265,2,0.3487265,2,0,0,0.3487265,0
192.168.100.3->205.251.198.91,4,3786.5,0,74,0.34717225,2,0.34717225,b,0,0,0.34717225,0
192.168.100.3->205.251.199.148,4,3682.5,0,29,0.35217,2,0.35217,2,0,0,0.35217,0
192.168.100.3->205.251.199.194,4,3716,0,74,0.340996,2,0.340996,1,0,0,0.340996,0
192.168.100.3->205.251.199.61,4,3725,0,74,0.352041,2,0.352041,1,0,0,0.352041,0
192.168.100.3->216.239.34.10,4,2847.5,0,14.5,0.143321,2,0.143321,1,0,0,0.143321,0
192.168.100.3->216.239.36.10,4,5439,0,23,0.142401,2,0.142401,1,0,0,0.142401,0
192.168.100.3->216.239.38.10,4,8728,0,20,0.180337,2,0.180337,1,0,0,0.180337,0
192.168.100.3->224.0.0.251,4,9425.5,0,21.5,0,4,0,13,0,0,0,0
192.168.100.3->35.165.2.252,3,4036,0.350856,23,0.155417,6,0.301399,1,0.211536,0.276624,1.160759,0
192.168.100.3->52.35.35.13,3,6765,0.331883,20,0.15452,6,0.292655,1,0.210558,0.275345,1.105515,0
192.168.100.3->96.7.49.66,4,3840.5,0,26,0.311667,2,0.311667,1,0,0,0.311667,0
192.168.100.4->192.168.100.1,0.8,13722.8,0.0646286,5,0.0001772,2,0.0325374,7.4,0.1118024,0.1295616,0.16179,0
192.168.100.4->192.168.100.7,0,1634.75,0.0000295,4.5,0.0001895,2,0.00023225,1.5,0.002751,0.002751,0.00026825,0
192.168.100.4->224.0.0.251,4,10247.75,0,4.5,0,4,0,b,0,0,0,0
192.168.100.4->91.189.91.157,4,17124,0,4.5,0.221141,2,0.221141,1,0,0,0.221141,0
192.168.100.4->91.189.92.40,3,16907.5,0.698823,7,0.2848015,1,0.7797075,2,1.943027,0.7031555,1.7679915,0
192.168.100.46->192.168.100.5,3.66666666666667,3.33333333333333,0.120223133333333,4.2,3.05354026666667,2.66666666666667,4.95524246666667,4.6,6.2479214,18.7912366666667,4.9981488,0
192.168.100.5->192.168.100.1,2.66666666666667,22234,0,7,0.0177463333333333,2,0.0177463333333333,7,0,0,0.0177463333333333,0
192.168.100.5->192.168.100.147,1.03677058353317,15713.1254996003,1.67066346922462E-07,37.8784972022382,0.000912232613908873,4.94244604316547,0.000912500399680256,9.81614708233413,4.91950439648281E-05,0.00135044924060751,0.00091274340527578,1
192.168.100.5->192.168.100.148,1.06819984139572,15512.3703409992,4.44885011895321E-07,37.6074544012688,0.000910436954797779,4.87946074544013,0.000910965900079302,9.8334655035686,4.86161776367962E-05,0.001309726407613,0.000911945281522601,1
192.168.100.5->192.168.100.149,1.15738678544915,15528.4461766889,0.00527894729027469,36.0207869339272,0.0144579591685226,4.79658500371195,0.0230252264291017,10.0994803266518,0.0031116867112101,0.00969946919079436,0.0278756956198961,1
192.168.100.5->192.168.100.150,1.02405773857257,15790.7738572574,1.29911788291901E-07,37.6992782678428,0.000916190056134723,4.96792301523657,0.000916432237369687,9.64635124298316,4.65180433039294E-05,0.0012916639935846,0.000916715316760224,1
192.168.100.5->192.168.100.3,3,7965.28571428572,0.559872857142857,4.14285714285714,2.12526071428571,2,4.003419,6.28571428571429,0.240137142857143,8.39191785714286,4.62706128571429,0
192.168.100.5->224.0.0.251,4,11768.5,0,5,0,4,0,22.5,0,0,0,0
192.168.100.55->192.168.100.3,3,1.66666666666667,0.110091666666667,1,3.352623,2,4.95736033333333,5.33333333333333,19.3807616666667,19.3807806666667,4.99786066666667,0
192.168.100.6->192.168.100.147,2,9203,5.85714285714286E-06,20.2857142857143,2.57142857142857E-06,2.28571428571429,1.01428571428571E-05,6.14285714285714,0.000341,0.000681714285714286,1.91428571428571E-05,1
192.168.100.6->192.168.100.148,2.87755102040816,4878.10204081633,0.0589096020408163,64.0170068027211,0.0348312789115646,2.9047619047619,0.0827339183673469,63.765306122449,0.018656193877551,2.86846026870748,0.195156544217687,1
192.168.100.6->192.168.100.149,2.22222222222222,9061,6.88888888888889E-06,20.8888888888889,8.88888888888889E-07,2,8.55555555555556E-06,7.22222222222222,0.000265222222222222,0.000530555555555555,1.94444444444444E-05,1
192.168.100.6->192.168.100.150,1.83333333333333,9314.33333333333,9.83333333333333E-06,19.8333333333333,0.0000015,2.5,9.66666666666667E-06,4.33333333333333,0.0003975,0.000795,2.69999999999833E-05,1
192.168.100.6->192.168.100.255,4,4355.6,0,4,0.3056814,4,0.3056814,4.4,0,0.2625992,0.3056814,0
192.168.100.6->192.168.100.3,3,6.8,0.0859344,2.8,3.6599356,2,4.862095,6,0,6.372632,4.9819744,0
192.168.100.6->224.0.0.252,4,3922,0,5,0.1061,4,0.1061,1,0,9.425071,0.1061,0
192.168.100.7->192.168.100.147,0.823529411764706,66239.4117647059,0.485573411764706,2.76470588235294,1.08923252941176,2.70588235294118,1.92286517647059,1.35294117647059,0.309951529411765,0.500042294117647,2.33007194117647,1
192.168.100.7->192.168.100.148,1,12402.8,0.0000158,5.4,5.019999999998E-05,3,7.959999999998E-05,1.6,0.003488,0.0039662,0.00010799999999998,1
192.168.100.7->192.168.100.149,1.25,15470,0.00001325,6.25,0.0002215,3.25,0.00025125,1.5,0.0042775,0.004875,0.00030325,1
192.168.100.7->192.168.100.150,1.25,15432.75,0.00001175,5.75,0.0000275,3.25,0.000056,1.5,0.002988,0.0035845,0.0000745,1
192.168.100.7->192.168.100.255,4,2096,0.00003675,3.75,0.0000735,4,0.0001205,3.75,0,0.00377649999999995,0.00015825,0
192.168.100.7->192.168.100.3,4,6,0.1306802,2.6,2.8903224,4,4.9069562,6,0,10.3852606,4.9953508,0
192.168.100.7->192.168.100.4,3,1613.5,0.00001525,3.75,0.00001925,2,0.0000325,2.25,0.002751,0.002751,0.0000595,0
fe80::250:56ff:febe:254->ff02::1,4,8675,0,2,0.0100245,4,0.0100245,2,0,99.75560375,0.0100245,0
fe80::250:56ff:febe:254->ff02::2,2,4903.5,0,1,0,8,0,3,0,0,0,0
fe80::250:56ff:febe:26db->ff02::fb,4,9424.5,0,1,0,4,0,3,0,0,0,0
fe80::250:56ff:febe:89ee->ff02::2,2,18011.5,0,1,0,8,0,1,0,0,0,0
fe80::250:56ff:febe:bf1a->ff02::2,2,5108.5,0,1,0,8,0,3,0,0,0,0
fe80::250:56ff:febe:c038->ff02::2,2,6987,0,1,0,8,0,3,0,0,0,0
fe80::250:56ff:febe:e9d9->ff02::fb,4,11767.5,0,1,0,4,0,3.5,0,0,0,0
fe80::2c6a:ff9b:7e14:166a->ff02::fb,4,28348,0,1,0,4,0,3.5,0,0,0,0
fe80::c0c0:aa20:45b9:bdd9->ff02::fb,4,10247.75,0,1,0,4,0,2.5,0,0,0,0
